brand,products,units_sold,net_revenue
ZenByte,34,15398,657802844.0
Voltix,30,13260,520696206.0
PixelPro,26,11816,434957969.0
NovaTech,28,12876,433830807.5
TechSphere,22,9930,422369718.0
Auralink,22,9762,316622842.5
UrbanHome,42,19042,250920999.5
KitchenPro,36,16232,213617175.5
CasaLiving,35,16048,198295585.5
HomeNest,36,16089,183952203.5
RunX,46,21063,170926440.0
FitCore,38,17139,164783061.0
ActivePro,29,13458,141575110.5
ComfortCraft,26,11694,137979791.5
SportEdge,31,14246,133253094.0
FlexFit,32,14487,124859357.5
DermaCare,42,19056,59210699.5
StreetLine,31,13851,58801769.0
ModeWear,29,13166,51113634.0
AuraBeauty,39,17996,49820598.0
ClassicFit,21,9511,41415220.5
PureSkin,33,14828,39222303.5
TrendRoot,22,9823,35234131.5
StyleCraft,23,10326,31898683.0
GlowPure,32,14828,31215062.5
BloomCare,27,12431,29582722.0
UrbanThread,19,8645,27057165.5
KnowledgeHouse,40,18060,23573908.5
LearnPress,36,16432,21924378.0
InsightBooks,35,16072,17540081.0
PageTurner,33,14902,16887483.5
ReadMore,25,11325,12385201.5
