customer_id,recency,frequency,monetary,R_score,F_score,M_score,RFM_score,customer_segment
C02155,106,6,1280758.0,2,3,5,10,Loyal Customers
C18159,73,9,1262494.0,3,5,5,13,Champions
C18392,36,9,1235714.5,4,5,5,14,Champions
C10921,35,12,1184067.0,4,5,5,14,Champions
C15937,36,13,1152215.5,4,5,5,14,Champions
C18005,28,11,1148593.0,4,5,5,14,Champions
C01709,72,9,1138679.0,3,5,5,13,Champions
C13126,18,10,1133612.0,4,5,5,14,Champions
C14303,22,12,1127122.5,4,5,5,14,Champions
C11594,43,6,1122519.5,3,3,5,11,Loyal Customers
C08619,13,9,1120701.0,5,5,5,15,Champions
C02469,3,7,1107184.0,5,4,5,14,Champions
C08356,21,9,1095062.0,4,5,5,14,Champions
C19634,29,8,1094321.5,4,4,5,13,Champions
C17201,6,9,1090523.5,5,5,5,15,Champions
C11765,31,14,1071335.0,4,5,5,14,Champions
C12047,1,9,1071000.0,5,5,5,15,Champions
C05352,40,8,1070521.5,3,4,5,12,Loyal Customers
C16369,8,15,1064323.0,5,5,5,15,Champions
C11742,19,10,1058235.0,4,5,5,14,Champions
C15646,1,12,1055841.0,5,5,5,15,Champions
C10848,48,6,1052582.0,3,3,5,11,Loyal Customers
C15178,73,9,1027896.5,3,5,5,13,Champions
C19252,21,14,1000722.0,4,5,5,14,Champions
C07510,12,8,995485.0,5,4,5,14,Champions
C09680,20,9,994966.0,4,5,5,14,Champions
C03753,11,6,991721.0,5,3,5,13,Champions
C03379,82,10,981302.5,2,5,5,12,Loyal Customers
C05914,101,7,977348.5,2,4,5,11,Loyal Customers
C19576,80,11,960912.0,2,5,5,12,Loyal Customers
C04592,140,8,957671.0,2,4,5,11,Loyal Customers
C00173,28,7,955860.5,4,4,5,13,Champions
C14173,9,12,947881.5,5,5,5,15,Champions
C11960,65,6,941116.0,3,3,5,11,Loyal Customers
C00149,9,11,938538.5,5,5,5,15,Champions
C11472,51,6,934132.5,3,3,5,11,Loyal Customers
C05148,42,10,933410.5,3,5,5,13,Champions
C07893,50,10,931377.0,3,5,5,13,Champions
C19458,100,8,928847.0,2,4,5,11,Loyal Customers
C06067,7,11,928474.0,5,5,5,15,Champions
C18340,40,5,925521.5,3,3,5,11,Loyal Customers
C05706,32,9,917722.5,4,5,5,14,Champions
C11096,178,7,917060.0,2,4,5,11,Loyal Customers
C05072,4,10,911600.5,5,5,5,15,Champions
C15436,21,8,903750.0,4,4,5,13,Champions
C11637,52,10,903388.0,3,5,5,13,Champions
C18388,10,6,899170.0,5,3,5,13,Champions
C19708,1,7,895276.0,5,4,5,14,Champions
C08905,14,8,895245.5,5,4,5,14,Champions
C19771,35,8,894866.0,4,4,5,13,Champions
C01748,4,13,894703.5,5,5,5,15,Champions
C08218,58,12,892100.5,3,5,5,13,Champions
C16129,1,10,888418.5,5,5,5,15,Champions
C11681,2,8,885913.5,5,4,5,14,Champions
C16300,138,10,882062.0,2,5,5,12,Loyal Customers
C00005,30,7,881380.5,4,4,5,13,Champions
C03499,3,9,881263.5,5,5,5,15,Champions
C19815,1,12,881231.0,5,5,5,15,Champions
C07272,8,10,879291.5,5,5,5,15,Champions
C14991,5,8,877873.5,5,4,5,14,Champions
C15642,10,13,875817.0,5,5,5,15,Champions
C18635,25,6,875329.0,4,3,5,12,Loyal Customers
C18685,3,9,874866.0,5,5,5,15,Champions
C00546,41,9,872030.5,3,5,5,13,Champions
C10399,4,10,870974.5,5,5,5,15,Champions
C05173,1,14,868773.0,5,5,5,15,Champions
C11672,99,12,867656.0,2,5,5,12,Loyal Customers
C19828,1,7,866386.0,5,4,5,14,Champions
C11821,7,13,864153.0,5,5,5,15,Champions
C17751,19,9,863602.0,4,5,5,14,Champions
C04970,4,7,862521.5,5,4,5,14,Champions
C00897,26,10,861413.5,4,5,5,14,Champions
C19764,79,8,856017.0,3,4,5,12,Loyal Customers
C06294,1,10,855559.0,5,5,5,15,Champions
C04114,7,13,853768.0,5,5,5,15,Champions
C12558,30,9,851050.5,4,5,5,14,Champions
C19975,71,6,850662.0,3,3,5,11,Loyal Customers
C15612,20,11,849198.5,4,5,5,14,Champions
C09743,34,5,849034.5,4,3,5,12,Loyal Customers
C16792,16,7,846246.5,5,4,5,14,Champions
C00478,110,8,845176.5,2,4,5,11,Loyal Customers
C10638,13,8,845137.5,5,4,5,14,Champions
C10383,91,7,840239.0,2,4,5,11,Loyal Customers
C11780,39,8,838611.5,4,4,5,13,Champions
C01532,54,10,837855.5,3,5,5,13,Champions
C15232,77,7,836815.5,3,4,5,12,Loyal Customers
C12051,108,8,834050.0,2,4,5,11,Loyal Customers
C13136,7,11,832702.0,5,5,5,15,Champions
C14127,2,10,832682.0,5,5,5,15,Champions
C13304,131,8,831948.0,2,4,5,11,Loyal Customers
C05684,55,10,831585.5,3,5,5,13,Champions
C06734,26,7,830988.5,4,4,5,13,Champions
C07876,132,9,830415.5,2,5,5,12,Loyal Customers
C00556,31,11,830322.5,4,5,5,14,Champions
C11368,146,14,827544.0,2,5,5,12,Loyal Customers
C02207,5,13,825715.0,5,5,5,15,Champions
C17065,8,7,823323.0,5,4,5,14,Champions
C11938,38,9,823213.0,4,5,5,14,Champions
C00337,22,11,823189.0,4,5,5,14,Champions
C18861,16,7,822826.5,5,4,5,14,Champions
C04515,35,11,818404.5,4,5,5,14,Champions
C04834,43,11,817253.0,3,5,5,13,Champions
C04861,37,8,815629.0,4,4,5,13,Champions
C15225,13,9,812375.0,5,5,5,15,Champions
C18924,10,9,810800.5,5,5,5,15,Champions
C02160,4,12,810136.0,5,5,5,15,Champions
C15062,26,10,808720.5,4,5,5,14,Champions
C10909,125,8,808569.0,2,4,5,11,Loyal Customers
C01486,15,9,806731.0,5,5,5,15,Champions
C01683,53,9,806123.5,3,5,5,13,Champions
C18126,39,6,805993.0,4,3,5,12,Loyal Customers
C00957,46,6,805782.0,3,3,5,11,Loyal Customers
C06088,27,8,805407.0,4,4,5,13,Champions
C03969,5,6,805163.0,5,3,5,13,Champions
C07183,30,12,803733.5,4,5,5,14,Champions
C17067,14,5,802836.5,5,3,5,13,Champions
C13587,39,10,801882.5,4,5,5,14,Champions
C13144,87,8,801728.5,2,4,5,11,Loyal Customers
C00387,24,12,801281.0,4,5,5,14,Champions
C00151,32,8,800399.5,4,4,5,13,Champions
C02043,15,9,798726.0,5,5,5,15,Champions
C19692,8,10,798646.5,5,5,5,15,Champions
C04060,6,5,796364.5,5,3,5,13,Champions
C02673,32,6,796016.0,4,3,5,12,Loyal Customers
C11099,3,14,794827.5,5,5,5,15,Champions
C19584,11,11,794645.0,5,5,5,15,Champions
C01186,10,5,791918.0,5,3,5,13,Champions
C08425,126,8,789516.5,2,4,5,11,Loyal Customers
C12985,140,7,788797.5,2,4,5,11,Loyal Customers
C06112,20,7,788365.5,4,4,5,13,Champions
C07365,3,8,787421.5,5,4,5,14,Champions
C14350,129,6,786767.5,2,3,5,10,Loyal Customers
C01223,6,11,786520.0,5,5,5,15,Champions
C03580,8,7,785357.0,5,4,5,14,Champions
C14809,117,11,784898.0,2,5,5,12,Loyal Customers
C04646,2,7,784801.0,5,4,5,14,Champions
C10333,55,7,783436.5,3,4,5,12,Loyal Customers
C03535,115,6,783044.5,2,3,5,10,Loyal Customers
C00105,17,11,783043.0,5,5,5,15,Champions
C12961,26,10,780102.0,4,5,5,14,Champions
C18617,3,9,779837.0,5,5,5,15,Champions
C19214,100,11,779446.0,2,5,5,12,Loyal Customers
C04482,40,8,778665.5,3,4,5,12,Loyal Customers
C06883,27,9,777488.0,4,5,5,14,Champions
C15609,13,10,777254.0,5,5,5,15,Champions
C17482,21,11,776886.5,4,5,5,14,Champions
C15999,24,7,775723.5,4,4,5,13,Champions
C05147,8,8,774986.0,5,4,5,14,Champions
C02628,14,14,773890.0,5,5,5,15,Champions
C09909,1,4,773411.5,5,2,5,12,Loyal Customers
C03546,88,10,773184.5,2,5,5,12,Loyal Customers
C06749,12,8,772632.0,5,4,5,14,Champions
C11336,105,8,771556.0,2,4,5,11,Loyal Customers
C04770,22,10,770119.5,4,5,5,14,Champions
C00224,38,9,769684.0,4,5,5,14,Champions
C07885,67,14,769331.5,3,5,5,13,Champions
C06244,1,6,769142.0,5,3,5,13,Champions
C13105,103,9,768910.0,2,5,5,12,Loyal Customers
C04897,7,10,767406.0,5,5,5,15,Champions
C18608,2,5,766347.0,5,3,5,13,Champions
C09808,121,10,764915.5,2,5,5,12,Loyal Customers
C07591,10,6,763244.5,5,3,5,13,Champions
C05247,9,7,762661.0,5,4,5,14,Champions
C10525,10,6,761048.0,5,3,5,13,Champions
C02444,1,12,760480.5,5,5,5,15,Champions
C09486,15,13,760145.0,5,5,5,15,Champions
C18393,2,11,759492.0,5,5,5,15,Champions
C05097,1,9,758887.5,5,5,5,15,Champions
C16838,49,8,758711.5,3,4,5,12,Loyal Customers
C16458,11,9,758310.0,5,5,5,15,Champions
C17647,14,7,757442.0,5,4,5,14,Champions
C02136,35,9,757318.5,4,5,5,14,Champions
C10077,22,10,756941.5,4,5,5,14,Champions
C15509,175,7,756757.5,2,4,5,11,Loyal Customers
C01950,97,9,756295.0,2,5,5,12,Loyal Customers
C11136,9,7,755975.5,5,4,5,14,Champions
C07179,2,9,755466.0,5,5,5,15,Champions
C10927,5,9,755330.5,5,5,5,15,Champions
C07611,5,8,755228.5,5,4,5,14,Champions
C05240,61,9,754163.0,3,5,5,13,Champions
C01943,79,10,753247.0,3,5,5,13,Champions
C14879,158,8,752679.5,2,4,5,11,Loyal Customers
C11206,196,6,752597.5,1,3,5,9,Potential Customers
C03673,14,7,752577.0,5,4,5,14,Champions
C02750,19,11,752287.5,4,5,5,14,Champions
C07095,133,10,751865.5,2,5,5,12,Loyal Customers
C04889,82,8,751843.5,2,4,5,11,Loyal Customers
C08636,60,9,751676.5,3,5,5,13,Champions
C17545,14,7,751630.0,5,4,5,14,Champions
C03732,1,7,751511.0,5,4,5,14,Champions
C09691,1,10,751504.0,5,5,5,15,Champions
C01422,6,12,749571.0,5,5,5,15,Champions
C00300,2,10,749035.0,5,5,5,15,Champions
C06243,33,9,748648.5,4,5,5,14,Champions
C02657,88,7,748138.0,2,4,5,11,Loyal Customers
C01782,36,9,747999.0,4,5,5,14,Champions
C02369,1,10,747718.5,5,5,5,15,Champions
C10138,9,7,747564.0,5,4,5,14,Champions
C11987,1,10,746907.5,5,5,5,15,Champions
C04436,12,5,746126.0,5,3,5,13,Champions
C10366,174,6,745300.0,2,3,5,10,Loyal Customers
C05593,22,9,744779.0,4,5,5,14,Champions
C19594,87,5,744546.0,2,3,5,10,Loyal Customers
C18615,39,8,743994.5,4,4,5,13,Champions
C03502,20,6,743398.0,4,3,5,12,Loyal Customers
C02436,4,11,742353.5,5,5,5,15,Champions
C09483,98,7,742264.0,2,4,5,11,Loyal Customers
C15240,1,8,740315.5,5,4,5,14,Champions
C10795,8,12,740030.0,5,5,5,15,Champions
C06093,29,8,739874.0,4,4,5,13,Champions
C15306,41,11,739716.5,3,5,5,13,Champions
C04762,38,4,739686.0,4,2,5,11,Loyal Customers
C01220,1,8,739651.0,5,4,5,14,Champions
C12717,4,11,739230.5,5,5,5,15,Champions
C01505,24,10,739228.0,4,5,5,14,Champions
C08113,16,10,739010.0,5,5,5,15,Champions
C10947,22,7,738942.0,4,4,5,13,Champions
C12921,100,8,738711.0,2,4,5,11,Loyal Customers
C07855,3,13,738275.0,5,5,5,15,Champions
C13477,32,10,738016.0,4,5,5,14,Champions
C07519,26,10,737869.5,4,5,5,14,Champions
C02563,37,8,737612.5,4,4,5,13,Champions
C07035,23,10,736378.5,4,5,5,14,Champions
C05818,87,9,734618.0,2,5,5,12,Loyal Customers
C08329,1,11,734522.5,5,5,5,15,Champions
C17489,169,4,733917.5,2,2,5,9,Potential Customers
C11290,23,7,733145.0,4,4,5,13,Champions
C19381,1,11,732478.5,5,5,5,15,Champions
C01153,12,9,732397.0,5,5,5,15,Champions
C01276,1,6,732358.5,5,3,5,13,Champions
C00569,2,8,731978.5,5,4,5,14,Champions
C07741,66,6,731970.0,3,3,5,11,Loyal Customers
C09031,8,5,731217.5,5,3,5,13,Champions
C18108,27,8,730760.5,4,4,5,13,Champions
C03330,59,7,730100.0,3,4,5,12,Loyal Customers
C09302,1,10,729995.5,5,5,5,15,Champions
C01937,2,8,729933.0,5,4,5,14,Champions
C19556,6,7,729480.5,5,4,5,14,Champions
C13234,178,7,729367.5,2,4,5,11,Loyal Customers
C05089,85,6,729337.0,2,3,5,10,Loyal Customers
C07188,49,10,729006.0,3,5,5,13,Champions
C08084,35,6,728789.0,4,3,5,12,Loyal Customers
C01087,1,8,728647.0,5,4,5,14,Champions
C03268,7,9,727659.0,5,5,5,15,Champions
C06403,19,6,727370.0,4,3,5,12,Loyal Customers
C16516,8,14,726881.0,5,5,5,15,Champions
C03968,42,12,726585.5,3,5,5,13,Champions
C06986,42,12,725309.5,3,5,5,13,Champions
C11220,6,9,725202.5,5,5,5,15,Champions
C04642,18,13,724780.0,4,5,5,14,Champions
C06152,109,9,724770.5,2,5,5,12,Loyal Customers
C10317,10,9,724345.5,5,5,5,15,Champions
C02152,222,6,724285.0,1,3,5,9,Potential Customers
C14371,6,12,723515.5,5,5,5,15,Champions
C10644,35,9,723056.5,4,5,5,14,Champions
C09272,98,9,723053.5,2,5,5,12,Loyal Customers
C03641,2,12,722812.5,5,5,5,15,Champions
C17710,1,10,722520.5,5,5,5,15,Champions
C06607,105,10,722205.5,2,5,5,12,Loyal Customers
C12211,19,10,721736.0,4,5,5,14,Champions
C05217,35,7,720687.5,4,4,5,13,Champions
C06524,1,7,720176.5,5,4,5,14,Champions
C16153,93,8,720136.0,2,4,5,11,Loyal Customers
C18205,1,10,720127.5,5,5,5,15,Champions
C02874,16,9,719625.0,5,5,5,15,Champions
C04123,14,7,718479.5,5,4,5,14,Champions
C06821,82,7,718107.5,2,4,5,11,Loyal Customers
C00591,29,9,718106.0,4,5,5,14,Champions
C18881,10,12,718034.0,5,5,5,15,Champions
C10805,48,7,717572.5,3,4,5,12,Loyal Customers
C05621,79,6,717149.5,3,3,5,11,Loyal Customers
C07626,97,4,717146.5,2,2,5,9,Potential Customers
C01722,24,7,717086.5,4,4,5,13,Champions
C09271,45,9,716966.0,3,5,5,13,Champions
C06889,11,12,716935.5,5,5,5,15,Champions
C05401,52,7,716358.5,3,4,5,12,Loyal Customers
C07654,1,10,716271.5,5,5,5,15,Champions
C15512,30,6,715649.0,4,3,5,12,Loyal Customers
C04098,53,6,715569.0,3,3,5,11,Loyal Customers
C02776,76,6,715479.5,3,3,5,11,Loyal Customers
C06057,107,6,715110.5,2,3,5,10,Loyal Customers
C05103,83,9,714083.5,2,5,5,12,Loyal Customers
C18309,39,11,713872.0,4,5,5,14,Champions
C10244,8,11,712309.0,5,5,5,15,Champions
C11994,16,8,711950.5,5,4,5,14,Champions
C03336,31,12,710981.5,4,5,5,14,Champions
C12606,120,5,710868.0,2,3,5,10,Loyal Customers
C06090,28,11,710808.5,4,5,5,14,Champions
C11075,9,11,710479.0,5,5,5,15,Champions
C02777,12,10,710341.0,5,5,5,15,Champions
C19048,65,7,710108.5,3,4,5,12,Loyal Customers
C17863,26,8,709454.0,4,4,5,13,Champions
C18763,18,8,709350.0,4,4,5,13,Champions
C11953,6,9,709028.5,5,5,5,15,Champions
C15227,96,13,708787.0,2,5,5,12,Loyal Customers
C07646,221,5,708413.5,1,3,5,9,Potential Customers
C01133,1,7,708254.0,5,4,5,14,Champions
C04658,77,10,708065.0,3,5,5,13,Champions
C15517,11,10,707585.0,5,5,5,15,Champions
C06617,69,10,707283.0,3,5,5,13,Champions
C17939,14,8,706964.5,5,4,5,14,Champions
C00186,7,8,706858.5,5,4,5,14,Champions
C12142,61,7,706843.0,3,4,5,12,Loyal Customers
C16321,146,13,706341.0,2,5,5,12,Loyal Customers
C09139,15,6,706066.0,5,3,5,13,Champions
C19340,6,6,705031.0,5,3,5,13,Champions
C16998,61,9,704673.0,3,5,5,13,Champions
C19342,67,6,704336.0,3,3,5,11,Loyal Customers
C06626,9,7,703287.0,5,4,5,14,Champions
C17742,16,7,702306.5,5,4,5,14,Champions
C08046,22,10,701825.0,4,5,5,14,Champions
C01981,81,9,700625.5,2,5,5,12,Loyal Customers
C02187,9,8,700051.0,5,4,5,14,Champions
C07222,7,12,699847.0,5,5,5,15,Champions
C17064,9,11,699823.0,5,5,5,15,Champions
C14247,13,10,699681.0,5,5,5,15,Champions
C04755,1,7,699119.0,5,4,5,14,Champions
C01556,10,6,697995.5,5,3,5,13,Champions
C05974,17,8,697886.0,5,4,5,14,Champions
C00704,53,10,697689.0,3,5,5,13,Champions
C13326,15,11,697634.5,5,5,5,15,Champions
C04463,93,8,697529.0,2,4,5,11,Loyal Customers
C07781,290,7,697387.5,1,4,5,10,Loyal Customers
C03315,24,9,696448.5,4,5,5,14,Champions
C10183,11,9,695522.5,5,5,5,15,Champions
C09770,27,11,695257.0,4,5,5,14,Champions
C17934,58,10,695060.5,3,5,5,13,Champions
C09428,20,8,694888.5,4,4,5,13,Champions
C00916,77,11,694112.5,3,5,5,13,Champions
C06398,34,8,693936.0,4,4,5,13,Champions
C15231,315,8,693717.5,1,4,5,10,Loyal Customers
C00002,14,11,693250.5,5,5,5,15,Champions
C03603,59,5,693113.0,3,3,5,11,Loyal Customers
C06312,51,7,693054.0,3,4,5,12,Loyal Customers
C11966,5,8,692798.5,5,4,5,14,Champions
C07973,41,9,692771.5,3,5,5,13,Champions
C08557,1,9,692309.0,5,5,5,15,Champions
C19759,10,7,690768.0,5,4,5,14,Champions
C15162,10,6,690431.0,5,3,5,13,Champions
C09358,26,11,690363.0,4,5,5,14,Champions
C03323,12,10,689948.0,5,5,5,15,Champions
C12547,6,9,689930.5,5,5,5,15,Champions
C06956,4,7,689724.0,5,4,5,14,Champions
C04460,29,8,689160.5,4,4,5,13,Champions
C15257,7,12,688939.0,5,5,5,15,Champions
C03746,64,12,688249.0,3,5,5,13,Champions
C00918,11,6,687589.0,5,3,5,13,Champions
C10859,7,12,686872.0,5,5,5,15,Champions
C09368,4,8,686034.5,5,4,5,14,Champions
C17708,21,9,685948.0,4,5,5,14,Champions
C04110,85,11,685928.5,2,5,5,12,Loyal Customers
C00974,5,8,685789.0,5,4,5,14,Champions
C15226,54,8,685672.5,3,4,5,12,Loyal Customers
C17508,14,13,685578.0,5,5,5,15,Champions
C08282,20,8,685469.5,4,4,5,13,Champions
C14861,104,8,685441.5,2,4,5,11,Loyal Customers
C10298,57,7,685390.5,3,4,5,12,Loyal Customers
C00358,57,5,685388.5,3,3,5,11,Loyal Customers
C12014,14,8,685178.0,5,4,5,14,Champions
C10503,79,8,684654.5,3,4,5,12,Loyal Customers
C03228,175,6,684478.5,2,3,5,10,Loyal Customers
C05970,25,11,684141.0,4,5,5,14,Champions
C07856,34,8,684096.0,4,4,5,13,Champions
C06270,38,8,683991.0,4,4,5,13,Champions
C16618,93,8,683980.5,2,4,5,11,Loyal Customers
C06641,36,7,683743.0,4,4,5,13,Champions
C15795,12,11,683711.0,5,5,5,15,Champions
C02326,13,8,683433.0,5,4,5,14,Champions
C03922,27,6,682948.5,4,3,5,12,Loyal Customers
C15065,77,10,682703.5,3,5,5,13,Champions
C03417,12,7,682402.0,5,4,5,14,Champions
C04379,1,10,681517.5,5,5,5,15,Champions
C06433,99,6,681503.5,2,3,5,10,Loyal Customers
C06304,22,7,681312.5,4,4,5,13,Champions
C04384,28,7,680987.0,4,4,5,13,Champions
C17550,1,4,680707.5,5,2,5,12,Loyal Customers
C03273,5,11,680033.0,5,5,5,15,Champions
C16850,5,6,679143.0,5,3,5,13,Champions
C08552,12,10,679133.0,5,5,5,15,Champions
C12450,30,5,679120.0,4,3,5,12,Loyal Customers
C06528,6,11,678706.5,5,5,5,15,Champions
C09118,8,6,678483.5,5,3,5,13,Champions
C04203,6,7,678452.5,5,4,5,14,Champions
C15127,76,7,678131.5,3,4,5,12,Loyal Customers
C17017,23,9,678103.5,4,5,5,14,Champions
C05538,165,8,677989.0,2,4,5,11,Loyal Customers
C19325,75,5,677869.0,3,3,5,11,Loyal Customers
C14078,8,12,677800.0,5,5,5,15,Champions
C16421,90,7,677567.0,2,4,5,11,Loyal Customers
C13623,20,8,677503.5,4,4,5,13,Champions
C11912,26,11,677155.0,4,5,5,14,Champions
C12882,31,4,677125.5,4,2,5,11,Loyal Customers
C03362,179,10,676630.0,2,5,5,12,Loyal Customers
C11097,36,11,676598.0,4,5,5,14,Champions
C17430,12,6,676467.0,5,3,5,13,Champions
C19304,15,7,676388.5,5,4,5,14,Champions
C00781,243,6,675950.5,1,3,5,9,Potential Customers
C14174,13,9,675577.5,5,5,5,15,Champions
C19142,169,7,675255.5,2,4,5,11,Loyal Customers
C04809,2,9,675057.5,5,5,5,15,Champions
C00758,25,9,674736.5,4,5,5,14,Champions
C12275,26,10,674721.5,4,5,5,14,Champions
C00618,13,11,674715.5,5,5,5,15,Champions
C00201,13,10,673587.5,5,5,5,15,Champions
C19878,10,7,673553.5,5,4,5,14,Champions
C02019,13,7,673400.5,5,4,5,14,Champions
C11610,1,11,673095.5,5,5,5,15,Champions
C18695,80,10,672922.0,2,5,5,12,Loyal Customers
C10972,28,5,672916.5,4,3,5,12,Loyal Customers
C19066,7,7,672868.5,5,4,5,14,Champions
C03493,46,8,672435.0,3,4,5,12,Loyal Customers
C05987,13,12,672344.0,5,5,5,15,Champions
C11252,115,8,672239.0,2,4,5,11,Loyal Customers
C11090,27,11,671990.0,4,5,5,14,Champions
C03254,141,5,671424.0,2,3,5,10,Loyal Customers
C19296,20,11,671345.5,4,5,5,14,Champions
C11897,52,10,670738.0,3,5,5,13,Champions
C02458,1,6,670568.5,5,3,5,13,Champions
C18147,61,10,670510.5,3,5,5,13,Champions
C04744,45,6,670456.0,3,3,5,11,Loyal Customers
C16863,30,8,670331.5,4,4,5,13,Champions
C00627,12,6,669717.0,5,3,5,13,Champions
C01259,87,5,669075.5,2,3,5,10,Loyal Customers
C16548,12,8,668583.0,5,4,5,14,Champions
C10185,81,9,668103.5,2,5,5,12,Loyal Customers
C11613,3,6,667920.0,5,3,5,13,Champions
C06915,31,8,667867.0,4,4,5,13,Champions
C01049,174,7,667674.5,2,4,5,11,Loyal Customers
C06232,8,11,667131.5,5,5,5,15,Champions
C12768,10,10,666290.5,5,5,5,15,Champions
C08685,2,6,666267.0,5,3,5,13,Champions
C15546,3,9,666129.0,5,5,5,15,Champions
C12493,169,6,665949.0,2,3,5,10,Loyal Customers
C11845,51,9,665552.5,3,5,5,13,Champions
C18104,11,12,665056.5,5,5,5,15,Champions
C12120,18,5,664445.5,4,3,5,12,Loyal Customers
C03811,1,7,664273.0,5,4,5,14,Champions
C08952,76,8,664252.0,3,4,5,12,Loyal Customers
C07581,76,8,663524.0,3,4,5,12,Loyal Customers
C01730,18,10,663236.5,4,5,5,14,Champions
C03124,83,11,663141.0,2,5,5,12,Loyal Customers
C18998,78,4,663090.5,3,2,5,10,Loyal Customers
C11261,7,9,662975.5,5,5,5,15,Champions
C06472,3,8,662970.5,5,4,5,14,Champions
C07643,9,5,662681.0,5,3,5,13,Champions
C07096,44,6,662392.5,3,3,5,11,Loyal Customers
C03454,17,9,662300.5,5,5,5,15,Champions
C18043,44,9,662215.5,3,5,5,13,Champions
C05015,14,5,662030.0,5,3,5,13,Champions
C01107,66,8,661879.5,3,4,5,12,Loyal Customers
C09294,5,10,661869.0,5,5,5,15,Champions
C19777,3,6,661782.0,5,3,5,13,Champions
C06000,41,10,661663.5,3,5,5,13,Champions
C03957,2,5,661283.0,5,3,5,13,Champions
C04417,2,6,661161.0,5,3,5,13,Champions
C18733,69,8,661048.0,3,4,5,12,Loyal Customers
C17753,88,12,661003.0,2,5,5,12,Loyal Customers
C15743,65,12,660889.5,3,5,5,13,Champions
C14240,1,8,660259.0,5,4,5,14,Champions
C09692,2,10,660111.0,5,5,5,15,Champions
C15199,281,7,660008.5,1,4,5,10,Loyal Customers
C16832,39,7,659878.0,4,4,5,13,Champions
C09470,82,7,659715.0,2,4,5,11,Loyal Customers
C04466,79,6,659591.5,3,3,5,11,Loyal Customers
C13747,185,4,658546.0,1,2,5,8,Potential Customers
C03947,13,10,658106.5,5,5,5,15,Champions
C07288,49,10,658102.0,3,5,5,13,Champions
C07104,8,9,657814.5,5,5,5,15,Champions
C14712,11,9,657793.5,5,5,5,15,Champions
C16521,48,8,657299.5,3,4,5,12,Loyal Customers
C04696,240,4,657004.5,1,2,5,8,Potential Customers
C16125,22,7,656934.0,4,4,5,13,Champions
C08399,33,14,656649.5,4,5,5,14,Champions
C07638,16,8,656193.0,5,4,5,14,Champions
C18505,106,6,656121.0,2,3,5,10,Loyal Customers
C06337,2,11,656065.0,5,5,5,15,Champions
C06064,139,6,656041.5,2,3,5,10,Loyal Customers
C09411,2,9,655809.0,5,5,5,15,Champions
C08333,53,8,655702.0,3,4,5,12,Loyal Customers
C08420,29,6,655547.0,4,3,5,12,Loyal Customers
C05580,62,8,655276.5,3,4,5,12,Loyal Customers
C07829,18,15,655165.5,4,5,5,14,Champions
C05184,2,8,655155.5,5,4,5,14,Champions
C10324,3,8,654886.0,5,4,5,14,Champions
C09611,1,9,654878.5,5,5,5,15,Champions
C13843,27,8,654711.5,4,4,5,13,Champions
C08514,38,6,654622.5,4,3,5,12,Loyal Customers
C13256,67,8,654275.0,3,4,5,12,Loyal Customers
C11300,40,6,653753.5,3,3,5,11,Loyal Customers
C07854,81,5,653288.0,2,3,5,10,Loyal Customers
C18463,67,9,653072.5,3,5,5,13,Champions
C14334,34,10,652961.5,4,5,5,14,Champions
C02785,25,8,652754.0,4,4,5,13,Champions
C12531,18,9,652486.0,4,5,5,14,Champions
C11421,40,7,651194.0,3,4,5,12,Loyal Customers
C08592,39,6,651160.5,4,3,5,12,Loyal Customers
C09507,43,7,650444.0,3,4,5,12,Loyal Customers
C01215,3,7,649977.5,5,4,5,14,Champions
C12382,11,7,649587.0,5,4,5,14,Champions
C12705,4,6,649540.0,5,3,5,13,Champions
C12672,30,12,649420.0,4,5,5,14,Champions
C12869,30,9,649405.0,4,5,5,14,Champions
C00845,2,7,649254.5,5,4,5,14,Champions
C03818,2,7,648293.5,5,4,5,14,Champions
C17414,19,6,647979.5,4,3,5,12,Loyal Customers
C18690,34,10,647288.5,4,5,5,14,Champions
C13874,24,8,647195.5,4,4,5,13,Champions
C02058,1,6,647007.5,5,3,5,13,Champions
C06342,19,8,646426.5,4,4,5,13,Champions
C14675,124,9,646186.0,2,5,5,12,Loyal Customers
C16970,5,8,645953.0,5,4,5,14,Champions
C18373,89,9,645593.0,2,5,5,12,Loyal Customers
C13420,12,11,645487.5,5,5,5,15,Champions
C01762,8,8,645161.5,5,4,5,14,Champions
C13009,1,9,645115.5,5,5,5,15,Champions
C15282,8,14,645075.5,5,5,5,15,Champions
C03365,48,7,645023.0,3,4,5,12,Loyal Customers
