month,net_amount,orders,AOV
2024-01,4641715.5,101,45957.57920792079
2024-02,14761870.0,284,51978.41549295775
2024-03,24591809.0,478,51447.299163179916
2024-04,36060049.0,675,53422.29481481481
2024-05,42423134.5,900,47136.81611111111
2024-06,57602367.0,1076,53533.79832713755
2024-07,67806903.5,1341,50564.43214019389
2024-08,83196670.5,1624,51229.47690886699
2024-09,97983192.0,1881,52091.01116427432
2024-10,106871623.0,2130,50174.47089201878
2024-11,120017938.0,2346,51158.54134697357
2024-12,137410058.0,2787,49303.931826336564
2025-01,157956004.0,3154,50081.16804058338
2025-02,157080749.5,3159,49724.8336498892
2025-03,202105843.5,3960,51036.82916666667
2025-04,215390161.5,4236,50847.53576487252
2025-05,243467780.5,4847,50230.61285331133
2025-06,275480030.0,5466,50398.83461397731
2025-07,309825646.5,6129,50550.76627508566
2025-08,361827502.5,7038,51410.557331628304
2025-09,401626723.0,7913,50755.304309364335
2025-10,481719446.5,9640,49970.89693983403
2025-11,586234397.5,11630,50407.08490971625
2025-12,867244632.0,17205,50406.546469049696
