order_id,customer_id,order_date,order_status,sales_channel
O000001,C03649,2024-10-27,Shipped,Website
O000002,C04573,2025-04-28,Delivered,Marketplace
O000003,C02849,2025-11-16,Delivered,Website
O000004,C07165,2025-03-28,Delivered,Website
O000005,C06516,2025-12-30,Delivered,Website
O000006,C14720,2025-12-29,Delivered,Marketplace
O000007,C05232,2025-09-30,Delivered,Website
O000008,C11030,2025-07-07,Delivered,Website
O000009,C11271,2025-11-10,Delivered,Website
O000010,C15055,2025-07-19,Delivered,Marketplace
O000011,C02583,2025-09-11,Processing,Mobile App
O000012,C11851,2025-10-16,Delivered,Website
O000013,C07468,2025-11-16,Delivered,Website
O000014,C07629,2024-07-11,Delivered,Mobile App
O000015,C11955,2024-12-26,Delivered,Website
O000016,C08749,2025-12-25,Cancelled,Mobile App
O000017,C19961,2025-10-20,Delivered,Mobile App
O000018,C05355,2025-06-28,Delivered,Marketplace
O000019,C18251,2025-02-18,Delivered,Mobile App
O000020,C01833,2024-11-21,Processing,Mobile App
O000021,C13146,2024-10-27,Delivered,Marketplace
O000022,C18586,2025-11-15,Delivered,Website
O000023,C16359,2025-09-21,Processing,Mobile App
O000024,C04682,2025-11-23,Delivered,Mobile App
O000025,C17662,2025-04-18,Shipped,Website
O000026,C19122,2025-12-13,Delivered,Marketplace
O000027,C04533,2025-10-23,Delivered,Mobile App
O000028,C03593,2025-11-04,Delivered,Mobile App
O000029,C13834,2025-11-09,Delivered,Website
O000030,C15338,2025-12-02,Delivered,Mobile App
O000031,C00377,2024-11-22,Delivered,Mobile App
O000032,C08744,2025-11-06,Delivered,Website
O000033,C14247,2024-11-26,Delivered,Marketplace
O000034,C08631,2025-10-29,Shipped,Mobile App
O000035,C03487,2025-12-10,Delivered,Mobile App
O000036,C19955,2025-06-24,Delivered,Mobile App
O000037,C17675,2025-07-27,Cancelled,Mobile App
O000038,C16011,2025-08-13,Delivered,Website
O000039,C10077,2024-09-03,Delivered,Marketplace
O000040,C02581,2024-07-27,Shipped,Mobile App
O000041,C17456,2024-08-10,Delivered,Mobile App
O000042,C18016,2024-07-10,Delivered,Marketplace
O000043,C13866,2025-01-30,Cancelled,Mobile App
O000044,C06592,2025-01-29,Delivered,Mobile App
O000045,C12237,2025-09-05,Processing,Mobile App
O000046,C08124,2025-08-09,Delivered,Website
O000047,C18151,2025-12-24,Delivered,Website
O000048,C01930,2025-01-22,Delivered,Website
O000049,C10828,2024-11-14,Delivered,Website
O000050,C15907,2025-10-03,Delivered,Mobile App
O000051,C18712,2025-08-05,Delivered,Mobile App
O000052,C13339,2025-01-30,Delivered,Mobile App
O000053,C11610,2025-11-05,Delivered,Marketplace
O000054,C01776,2025-12-15,Returned,Website
O000055,C13194,2025-05-28,Shipped,Website
O000056,C06279,2025-09-12,Delivered,Website
O000057,C06013,2025-10-03,Delivered,Marketplace
O000058,C02471,2025-09-04,Shipped,Marketplace
O000059,C03209,2025-08-14,Delivered,Mobile App
O000060,C00484,2025-09-09,Cancelled,Mobile App
O000061,C05450,2025-08-28,Delivered,Website
O000062,C13142,2025-07-06,Delivered,Website
O000063,C12794,2025-01-14,Cancelled,Mobile App
O000064,C09348,2025-11-15,Delivered,Mobile App
O000065,C18212,2025-11-03,Delivered,Website
O000066,C09723,2025-04-27,Returned,Mobile App
O000067,C17767,2024-09-16,Shipped,Website
O000068,C19143,2025-09-22,Delivered,Marketplace
O000069,C05159,2024-05-30,Returned,Website
O000070,C06090,2025-05-17,Delivered,Mobile App
O000071,C07708,2025-09-11,Delivered,Marketplace
O000072,C08068,2025-10-26,Delivered,Mobile App
O000073,C13738,2025-12-29,Delivered,Mobile App
O000074,C08545,2024-09-18,Delivered,Website
O000075,C08704,2025-08-27,Delivered,Mobile App
O000076,C14983,2025-05-13,Cancelled,Marketplace
O000077,C00306,2025-11-22,Delivered,Mobile App
O000078,C03277,2025-11-05,Delivered,Mobile App
O000079,C04341,2025-01-04,Processing,Marketplace
O000080,C12109,2024-11-16,Delivered,Mobile App
O000081,C09913,2025-12-02,Returned,Mobile App
O000082,C17333,2025-01-15,Delivered,Mobile App
O000083,C03395,2025-04-17,Delivered,Marketplace
O000084,C18129,2025-06-01,Delivered,Mobile App
O000085,C11236,2024-12-18,Delivered,Marketplace
O000086,C16562,2025-07-03,Delivered,Marketplace
O000087,C01665,2024-06-14,Delivered,Mobile App
O000088,C01445,2024-04-06,Delivered,Website
O000089,C08584,2025-04-07,Shipped,Mobile App
O000090,C14015,2025-12-18,Delivered,Website
O000091,C04885,2025-12-24,Delivered,Website
O000092,C18106,2024-11-13,Delivered,Website
O000093,C11949,2024-03-23,Processing,Website
O000094,C08177,2025-10-30,Delivered,Mobile App
O000095,C13317,2024-11-03,Cancelled,Website
O000096,C05325,2025-12-17,Shipped,Marketplace
O000097,C00813,2025-08-06,Shipped,Website
O000098,C13492,2025-12-24,Delivered,Mobile App
