order_id,product_id,quantity,unit_price,discount_pct
O000001,P00026,2,5800.0,0
O000002,P00755,2,4150.0,20
O000002,P00105,1,7650.0,5
O000003,P00096,1,9340.0,10
O000004,P00575,1,7030.0,10
O000005,P00430,2,7320.0,0
O000005,P00226,2,2920.0,10
O000005,P00460,1,4850.0,0
O000005,P00604,3,4010.0,5
O000005,P00285,1,1280.0,0
O000006,P00619,1,28050.0,5
O000006,P00271,1,17070.0,20
O000006,P00827,1,58470.0,0
O000007,P00907,2,7020.0,0
O000007,P00883,1,5810.0,0
O000007,P00371,1,6830.0,0
O000007,P00592,1,1310.0,0
O000007,P00197,1,13450.0,5
O000008,P00364,1,1110.0,20
O000008,P00215,1,920.0,10
O000008,P00687,1,3730.0,10
O000009,P00474,1,2900.0,20
O000009,P00389,2,8800.0,0
O000010,P00864,1,15130.0,15
O000010,P00787,2,3650.0,5
O000010,P00795,1,1040.0,20
O000011,P00898,1,2290.0,20
O000011,P00736,1,2240.0,0
O000011,P00323,1,1840.0,10
O000011,P00218,1,4540.0,10
O000011,P00672,1,8640.0,10
O000012,P00225,1,3010.0,15
O000012,P00142,2,1110.0,0
O000012,P00522,1,1680.0,10
O000013,P00066,1,1330.0,25
O000013,P00395,2,230.0,0
O000013,P00391,2,5180.0,10
O000013,P00611,1,610.0,0
O000013,P00480,1,77110.0,0
O000014,P00162,2,4550.0,10
O000014,P00465,4,1220.0,15
O000014,P00004,1,6930.0,0
O000014,P00977,1,18060.0,15
O000015,P00624,1,5550.0,25
O000015,P00204,3,1390.0,20
O000015,P00157,1,7230.0,5
O000015,P00383,1,3450.0,5
O000015,P00781,4,2900.0,15
O000016,P00060,3,76400.0,20
O000016,P00247,1,4860.0,5
O000017,P00779,1,17970.0,0
O000018,P00970,1,15340.0,10
O000018,P00563,3,560.0,20
O000018,P00170,2,8410.0,10
O000018,P00272,2,60230.0,5
O000019,P00449,1,300.0,0
O000019,P00922,1,14820.0,0
O000019,P00530,1,8070.0,10
O000020,P00073,2,1140.0,0
O000021,P00928,1,6770.0,5
O000022,P00244,1,1540.0,10
O000022,P00286,3,20150.0,10
O000022,P00686,1,2510.0,5
O000022,P00498,1,24530.0,0
O000022,P00220,2,2070.0,5
O000023,P00479,2,14840.0,25
O000023,P00885,1,7760.0,5
O000023,P00747,1,14910.0,15
O000023,P00056,1,3430.0,0
O000024,P00144,1,17600.0,20
O000024,P00433,1,2980.0,15
O000024,P00188,2,12330.0,0
O000024,P00286,2,20150.0,10
O000025,P00993,1,6530.0,15
O000026,P00171,1,31490.0,0
O000026,P00417,1,5520.0,0
O000027,P00003,2,6760.0,5
O000027,P00400,1,18100.0,25
O000027,P00272,4,60230.0,10
O000027,P00949,2,3940.0,0
O000028,P00223,1,72980.0,10
O000028,P00992,2,8120.0,0
O000028,P00060,1,76400.0,10
O000029,P00162,2,4550.0,0
O000029,P00059,1,22470.0,15
O000029,P00984,1,290.0,20
O000029,P00521,1,5610.0,10
O000029,P00083,1,19640.0,0
O000030,P00579,1,1180.0,10
O000030,P00536,1,40550.0,5
O000030,P00324,2,13430.0,0
O000030,P00958,1,60340.0,15
O000030,P00268,1,1620.0,5
O000031,P00103,1,2290.0,20
O000031,P00076,3,1080.0,20
O000031,P00551,1,1810.0,0
O000031,P00219,2,280.0,10
O000031,P00519,1,4440.0,25
O000032,P00009,3,50120.0,0
O000032,P00684,3,2220.0,0
O000032,P00837,3,11590.0,10
O000032,P00568,1,490.0,0
O000032,P00307,1,2240.0,5
O000033,P00518,3,570.0,15
O000033,P00501,1,12930.0,5
O000033,P00258,1,1200.0,0
O000034,P00653,1,12740.0,5
O000034,P00269,2,2180.0,10
O000035,P00078,3,3550.0,10
O000036,P00559,2,470.0,10
O000036,P00037,1,5270.0,0
O000037,P00374,2,14620.0,15
O000037,P00921,3,70730.0,0
O000037,P00956,1,18630.0,0
O000038,P00906,2,290.0,20
O000038,P00896,1,4570.0,0
O000038,P00417,2,5520.0,0
O000038,P00998,1,22710.0,0
O000038,P00636,3,480.0,15
O000039,P00822,2,17760.0,0
O000039,P00686,2,2510.0,0
O000039,P00885,3,7760.0,15
O000039,P00753,1,22800.0,15
O000040,P00359,3,1220.0,0
O000040,P00313,2,4150.0,5
O000040,P00841,1,5200.0,0
O000040,P00815,2,1050.0,5
O000041,P00410,3,19270.0,0
O000041,P00696,4,420.0,0
O000041,P00864,3,15130.0,0
O000041,P00550,1,550.0,5
O000041,P00340,2,900.0,5
O000042,P00524,1,62440.0,0
O000042,P00119,1,480.0,10
O000042,P00395,2,230.0,10
O000042,P00922,3,14820.0,10
O000042,P00591,1,35290.0,5
O000043,P00639,2,4100.0,10
O000043,P00322,1,23960.0,5
O000043,P00680,1,1170.0,5
O000044,P00568,1,490.0,20
O000044,P00131,2,1330.0,20
O000044,P00197,1,13450.0,5
O000045,P00854,1,13490.0,10
O000045,P00001,2,1100.0,5
O000045,P00312,1,17840.0,0
O000045,P00294,1,1080.0,20
O000045,P00216,2,28370.0,0
O000046,P00291,1,2510.0,10
O000047,P00096,2,9340.0,10
O000047,P00839,1,2420.0,0
O000047,P00975,1,2420.0,0
O000048,P00626,1,1570.0,20
O000048,P00871,1,9600.0,10
O000048,P00787,1,3650.0,5
O000048,P00075,1,4040.0,10
O000049,P00798,1,1050.0,0
O000050,P00476,2,4170.0,5
O000050,P00052,2,3140.0,10
O000050,P00571,4,1850.0,10
O000050,P00256,3,2400.0,20
O000050,P00940,1,22310.0,10
O000051,P00437,3,2270.0,10
O000051,P00851,1,6500.0,0
O000051,P00929,1,1010.0,10
O000051,P00562,2,13320.0,10
O000051,P00457,1,2470.0,0
O000052,P00731,1,10860.0,0
O000053,P00915,1,5180.0,0
O000053,P00554,2,3730.0,10
O000053,P00083,1,19640.0,5
O000054,P00478,1,7830.0,20
O000054,P00426,1,2190.0,10
O000054,P00064,2,16870.0,15
O000054,P00212,1,18480.0,0
O000054,P00853,1,23720.0,15
O000055,P00552,2,2620.0,20
O000055,P00766,1,32160.0,0
O000055,P00753,1,22800.0,5
O000055,P00560,2,1700.0,15
O000056,P00861,3,840.0,25
O000056,P00479,1,14840.0,20
O000057,P00578,1,17300.0,15
O000057,P00679,1,8380.0,0
O000057,P00028,1,2180.0,5
O000057,P00086,1,7130.0,20
O000057,P00659,1,1610.0,25
O000058,P00259,1,16730.0,10
O000058,P00855,4,23250.0,5
O000058,P00084,2,560.0,15
O000058,P00482,2,820.0,15
O000059,P00205,1,330.0,0
O000059,P00860,1,1270.0,10
O000060,P00971,2,4840.0,0
O000060,P00224,1,36060.0,10
O000060,P00477,1,300.0,15
O000060,P00717,3,55380.0,0
O000060,P00263,1,11310.0,5
O000061,P00407,1,1420.0,10
O000061,P00965,1,19690.0,0
O000061,P00733,2,16830.0,15
O000061,P00204,1,1390.0,0
O000062,P00802,2,1230.0,0
O000062,P00043,1,3900.0,0
O000062,P00356,1,760.0,5
O000062,P00546,1,9970.0,5
O000062,P00439,3,16460.0,5
